ACTION START 1200 0 START
ACTION QUERY 1200 10 customer service standards
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 123909841
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 10988623
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 58075322
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 10565813
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 23063757
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 45471371
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 30530408
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 135969717
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 136779281
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 2625258
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 71489533
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 7935048
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 44805372
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 14096596
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 10097249
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 39504902
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 63342616
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 164503050
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 2699009
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 164671135
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 2957842
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 2396612
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 2887319
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 24279456
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 2694370
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 2826949
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 135338674
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 70498094
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 16103121
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 151231210
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 138269191
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 115328236
ACTION QUERY 1200 121 ("customer service" OR "customer care" OR "service delivery" OR "service quality" OR "contact center" OR "call center" OR "digital engagement" OR "online chat" OR "social media" OR "customer interaction" OR "knowledge management" OR "agent training" OR "service recovery") AND ("impact" OR "effect" OR "influence" OR "aftermath" OR "consequence" OR "outcome" OR "result" OR "produce" OR
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 156948263
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 153523170
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 160968873
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 148732074
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 160434208
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 160840172
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 86343541
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 109780419
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 153962904
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 123296116
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 85773518
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 33851078
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 8332955
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 2878140
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 158042444
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 63365907
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 15035253
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 128972211
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 58064395
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 141040938
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 122371933
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 75774054
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 45984384
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 71610805
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 51698522
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 141756507
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 136071816
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 142088485
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 8257544
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 46940357
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 100985898
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 108910384
ACTION QUERY 1200 232 ("customer service" OR "customer care" OR "service delivery") AND ("health system" OR "healthcare system" OR "medical care" OR "health services") AND ("Syria" OR "Syrian Arab Republic" OR "Syria Republic") AND ("2010" OR "2011" OR "2012" OR "2013" OR "2014" OR "2015" OR "2016" OR "2017" OR "2018" OR "
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 25475219
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 18501345
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 139532844
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 11734618
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 43233884
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 44980333
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 115421824
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 56982386
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 25104119
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 18818575
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 20010255
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 18930384
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 160037087
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 51788114
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 151375517
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 8803379
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 145737382
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 45586494
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 10696919
