ACTION START 1200 0 START
ACTION QUERY 1200 10 TRUCKS AND TYRES
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 47482505
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 10998020
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 70341223
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 127573546
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 85728012
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 83079025
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 156087326
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 123213138
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 6507716
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 132136439
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 39946523
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 7302013
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 23901879
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 156694413
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 21474542
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 129421414
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 14147838
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 8616175
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 139986976
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 65891732
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 18611381
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 107262685
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 131768451
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 140275720
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 164395628
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 78435704
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 47644972
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 51617526
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 51224764
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 61025696
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 4854932
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 37002465
ACTION QUERY 1200 121 ("trucks" OR "commercial vehicles" OR "heavy vehicles" OR "HGVs" OR "large trucks" OR "18-wheelers" OR "transporters" OR "delivery vehicles" OR "service vehicles" OR "construction equipment") AND ("tyres" OR "tires" OR "vehicle tyres" OR "automobile tires" OR "passenger car tires" OR "light truck tires" OR "commercial truck tires" OR "bus tires" OR "railway
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 61131606
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 70724398
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 163560473
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 25897227
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 51413008
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 47482505
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 46469565
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 69226168
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 142596345
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 71414034
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 163245922
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 12457502
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 126985544
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 143279519
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 24722766
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 163108523
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 69234583
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 40531853
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 64607467
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 46615760
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 163360967
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 121485098
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 2349221
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 97412785
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 21000234
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 149533460
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 42801322
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 123585718
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 140661345
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 135736346
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 104466289
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 41699322
ACTION QUERY 1200 232 ("trucks" OR "commercial vehicles" OR "heavy vehicles" OR "HGVs") AND ("tyres" OR "tires" OR "vehicle tyres" OR "automobile tires" OR "passenger car tyres" OR "personal transportation" OR "HGV tyres" OR "truck tyres" OR "commercial vehicle tyres") AND ("impact" OR "effect" OR "consequence" OR "influence" OR "aftermath" OR "repercussion") AND
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 47482505
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 78435704
ACTION SNIPPET 1200 246 SNIPPET_NOT_RELEVANT 70341223
ACTION SNIPPET 1200 249 SNIPPET_NOT_RELEVANT 85728012
ACTION SNIPPET 1200 252 SNIPPET_NOT_RELEVANT 156087326
ACTION SNIPPET 1200 255 SNIPPET_NOT_RELEVANT 10998020
ACTION SNIPPET 1200 258 SNIPPET_NOT_RELEVANT 30887585
ACTION SNIPPET 1200 261 SNIPPET_NOT_RELEVANT 131327997
ACTION SNIPPET 1200 264 SNIPPET_NOT_RELEVANT 156694413
ACTION SNIPPET 1200 267 SNIPPET_NOT_RELEVANT 47644972
ACTION SNIPPET 1200 270 SNIPPET_NOT_RELEVANT 159342294
ACTION SNIPPET 1200 273 SNIPPET_NOT_RELEVANT 23901879
ACTION SNIPPET 1200 276 SNIPPET_NOT_RELEVANT 8616175
ACTION SNIPPET 1200 279 SNIPPET_NOT_RELEVANT 14147838
ACTION SNIPPET 1200 282 SNIPPET_NOT_RELEVANT 39946523
ACTION SNIPPET 1200 285 SNIPPET_NOT_RELEVANT 128971872
ACTION SNIPPET 1200 288 SNIPPET_NOT_RELEVANT 7302013
ACTION SNIPPET 1200 291 SNIPPET_NOT_RELEVANT 83079025
ACTION SNIPPET 1200 294 SNIPPET_NOT_RELEVANT 132136439
ACTION SNIPPET 1200 297 SNIPPET_NOT_RELEVANT 6507716
ACTION SNIPPET 1200 300 SNIPPET_NOT_RELEVANT 123213138
ACTION SNIPPET 1200 303 SNIPPET_NOT_RELEVANT 127573546
ACTION SNIPPET 1200 306 SNIPPET_NOT_RELEVANT 95307390
ACTION SNIPPET 1200 309 SNIPPET_NOT_RELEVANT 140275720
ACTION SNIPPET 1200 312 SNIPPET_NOT_RELEVANT 151439137
ACTION SNIPPET 1200 315 SNIPPET_NOT_RELEVANT 21474542
ACTION SNIPPET 1200 318 SNIPPET_NOT_RELEVANT 139986976
ACTION SNIPPET 1200 321 SNIPPET_NOT_RELEVANT 131768451
ACTION SNIPPET 1200 324 SNIPPET_NOT_RELEVANT 129421414
ACTION SNIPPET 1200 327 SNIPPET_NOT_RELEVANT 129047889
ACTION SNIPPET 1200 330 SNIPPET_NOT_RELEVANT 51224764
ACTION SNIPPET 1200 333 SNIPPET_NOT_RELEVANT 164395628
ACTION QUERY 1200 343 ("trucks" OR "commercial vehicles" OR "heavy vehicles" OR "HGVs") AND ("Tyre*" OR "tyre* pressure" OR "tyre condition" OR "tyre wear" OR "tyre damage" OR "tyre theft" OR "tyre vandalism" OR " tyre fire" OR "tyre explosion" OR "air freight" OR "rail freight" OR "sea freight" OR "multi-modal transport" OR "supply chain resilience
ACTION SERP 1200 348 EXAMINE_SERP
ACTION SNIPPET 1200 351 SNIPPET_NOT_RELEVANT 156087326
ACTION SNIPPET 1200 354 SNIPPET_NOT_RELEVANT 85728012
ACTION SNIPPET 1200 357 SNIPPET_NOT_RELEVANT 70341223
ACTION SNIPPET 1200 360 SNIPPET_NOT_RELEVANT 156694413
ACTION SNIPPET 1200 363 SNIPPET_NOT_RELEVANT 83079025
ACTION SNIPPET 1200 366 SNIPPET_NOT_RELEVANT 7302013
ACTION SNIPPET 1200 369 SNIPPET_NOT_RELEVANT 6507716
ACTION SNIPPET 1200 372 SNIPPET_NOT_RELEVANT 127573546
ACTION SNIPPET 1200 375 SNIPPET_NOT_RELEVANT 23901879
ACTION SNIPPET 1200 378 SNIPPET_NOT_RELEVANT 78435704
ACTION SNIPPET 1200 381 SNIPPET_NOT_RELEVANT 139986976
ACTION SNIPPET 1200 384 SNIPPET_NOT_RELEVANT 123213138
ACTION SNIPPET 1200 387 SNIPPET_NOT_RELEVANT 132136439
ACTION SNIPPET 1200 390 SNIPPET_NOT_RELEVANT 140275720
ACTION SNIPPET 1200 393 SNIPPET_NOT_RELEVANT 39946523
ACTION SNIPPET 1200 396 SNIPPET_NOT_RELEVANT 8616175
ACTION SNIPPET 1200 399 SNIPPET_NOT_RELEVANT 131327997
ACTION SNIPPET 1200 402 SNIPPET_NOT_RELEVANT 47644972
ACTION SNIPPET 1200 405 SNIPPET_NOT_RELEVANT 30887585
ACTION SNIPPET 1200 408 SNIPPET_NOT_RELEVANT 21474542
ACTION SNIPPET 1200 411 SNIPPET_NOT_RELEVANT 159342294
ACTION SNIPPET 1200 414 SNIPPET_NOT_RELEVANT 129421414
ACTION SNIPPET 1200 417 SNIPPET_NOT_RELEVANT 65891732
ACTION SNIPPET 1200 420 SNIPPET_NOT_RELEVANT 18611381
ACTION SNIPPET 1200 423 SNIPPET_NOT_RELEVANT 107262685
ACTION SNIPPET 1200 426 SNIPPET_NOT_RELEVANT 131768451
ACTION SNIPPET 1200 429 SNIPPET_NOT_RELEVANT 164395628
ACTION SNIPPET 1200 432 SNIPPET_NOT_RELEVANT 47482505
ACTION SNIPPET 1200 435 SNIPPET_NOT_RELEVANT 10998020
ACTION SNIPPET 1200 438 SNIPPET_NOT_RELEVANT 159084294
ACTION SNIPPET 1200 441 SNIPPET_NOT_RELEVANT 4854932
ACTION SNIPPET 1200 444 SNIPPET_NOT_RELEVANT 51617526
ACTION QUERY 1200 454 ("trucks" OR "heavy vehicles" OR "commercial vehicles" OR "delivery vehicles" OR "service vehicles" OR "construction" OR "mining" OR "agriculture" OR "forestry" OR "logistics" OR "transport") AND ("tyres" OR "tires" OR "pneumatic tires" OR "rubber tires" OR "passenger" OR "car" OR "light trucks" OR "SUVs" OR "pick-up
ACTION SERP 1200 459 EXAMINE_SERP
ACTION SNIPPET 1200 462 SNIPPET_NOT_RELEVANT 42801322
ACTION SNIPPET 1200 465 SNIPPET_NOT_RELEVANT 162218163
ACTION SNIPPET 1200 468 SNIPPET_NOT_RELEVANT 143279519
ACTION SNIPPET 1200 471 SNIPPET_NOT_RELEVANT 61131606
ACTION SNIPPET 1200 474 SNIPPET_NOT_RELEVANT 163560473
