ACTION START 1200 0 START
ACTION QUERY 1200 10 boys love characteristics in thailand
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 126990526
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 10535872
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 78268743
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 44502796
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 135466367
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 160397934
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 45178798
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 19433824
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 160392074
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 63090278
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 22989643
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 37372732
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 23046708
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 43377356
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 125352249
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 44756352
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 97019794
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 10971942
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 66877265
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 10972346
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 79320900
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 133394785
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 13945275
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 122596842
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 135643480
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 131823405
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 2034637
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 68082775
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 12126814
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 150418354
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 31242988
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 8803080
ACTION QUERY 1200 121 ("boys love" OR "yaoi" OR "gender equal love" OR "gay love" OR "homosexual love") AND ("characteristics" OR "elements" OR "features" OR "aspects" OR "traits") AND ("influence" OR "effect" OR "impact" OR "aftermath" OR "consequence" OR "result" OR "outcome" OR "produce" OR "generate" OR "create") AND ("Adaptation" OR "
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 135466367
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 156105471
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 61680485
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 9334561
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 10535872
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 10281339
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 46009070
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 126990526
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 63307604
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 161928817
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 107384255
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 107262758
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 160964221
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 58657340
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 78268743
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 62536715
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 127892095
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 40094688
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 25027968
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 129768823
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 46355401
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 19493963
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 69364934
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 137772462
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 6920514
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 25868093
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 157965212
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 83728380
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 157144161
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 150235542
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 26258228
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 46994432
ACTION QUERY 1200 232 ("gay" OR "lesbian" OR "homosexual" OR "bisexual" OR "transgender" OR "non-binary" OR "pansexual" OR "queer" OR "questioning" OR "gay" OR "lesbian" OR "homosexuality" OR "bisexuality" OR "transgender" OR "non-binary" OR "pansexual" OR "intersex") AND ("fiction" OR "literature" OR "fictional characters" OR
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 145144544
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 123377468
