ACTION START 1200 0 START
ACTION QUERY 1200 10 school dress code
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 39546560
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 129415671
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 112488180
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 9552275
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 40296776
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 61675490
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 80044506
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 40937612
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 66842114
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 107276539
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 138556102
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 132659320
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 48239531
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 149952652
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 150544757
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 125606587
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 75482647
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 69401949
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 139908991
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 71858614
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 70709947
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 13976201
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 83305629
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 78804035
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 63284265
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 83503616
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 151014337
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 84332311
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 122640394
