ACTION START 1200 0 START
ACTION QUERY 1200 10 Silence and finding a voice to express oneself in relationships 
ACTION SERP 1200 15 EXAMINE_SERP
ACTION SNIPPET 1200 18 SNIPPET_NOT_RELEVANT 109637356
ACTION SNIPPET 1200 21 SNIPPET_NOT_RELEVANT 43160398
ACTION SNIPPET 1200 24 SNIPPET_NOT_RELEVANT 115462797
ACTION SNIPPET 1200 27 SNIPPET_NOT_RELEVANT 150797401
ACTION SNIPPET 1200 30 SNIPPET_NOT_RELEVANT 39993264
ACTION SNIPPET 1200 33 SNIPPET_NOT_RELEVANT 78116360
ACTION SNIPPET 1200 36 SNIPPET_NOT_RELEVANT 3704525
ACTION SNIPPET 1200 39 SNIPPET_NOT_RELEVANT 150652102
ACTION SNIPPET 1200 42 SNIPPET_NOT_RELEVANT 59207795
ACTION SNIPPET 1200 45 SNIPPET_NOT_RELEVANT 138430648
ACTION SNIPPET 1200 48 SNIPPET_NOT_RELEVANT 86029602
ACTION SNIPPET 1200 51 SNIPPET_NOT_RELEVANT 83746095
ACTION SNIPPET 1200 54 SNIPPET_NOT_RELEVANT 8080486
ACTION SNIPPET 1200 57 SNIPPET_NOT_RELEVANT 7024905
ACTION SNIPPET 1200 60 SNIPPET_NOT_RELEVANT 66764730
ACTION SNIPPET 1200 63 SNIPPET_NOT_RELEVANT 124244209
ACTION SNIPPET 1200 66 SNIPPET_NOT_RELEVANT 154934208
ACTION SNIPPET 1200 69 SNIPPET_NOT_RELEVANT 144700971
ACTION SNIPPET 1200 72 SNIPPET_NOT_RELEVANT 165058041
ACTION SNIPPET 1200 75 SNIPPET_NOT_RELEVANT 95267630
ACTION SNIPPET 1200 78 SNIPPET_NOT_RELEVANT 139424820
ACTION SNIPPET 1200 81 SNIPPET_NOT_RELEVANT 127150814
ACTION SNIPPET 1200 84 SNIPPET_NOT_RELEVANT 8295281
ACTION SNIPPET 1200 87 SNIPPET_NOT_RELEVANT 3160772
ACTION SNIPPET 1200 90 SNIPPET_NOT_RELEVANT 8412030
ACTION SNIPPET 1200 93 SNIPPET_NOT_RELEVANT 12093799
ACTION SNIPPET 1200 96 SNIPPET_NOT_RELEVANT 123817396
ACTION SNIPPET 1200 99 SNIPPET_NOT_RELEVANT 160435821
ACTION SNIPPET 1200 102 SNIPPET_NOT_RELEVANT 70406034
ACTION SNIPPET 1200 105 SNIPPET_NOT_RELEVANT 139470911
ACTION SNIPPET 1200 108 SNIPPET_NOT_RELEVANT 19932611
ACTION SNIPPET 1200 111 SNIPPET_NOT_RELEVANT 160767463
ACTION QUERY 1200 121 "Silence" OR "heard silence" OR "perceived silence" OR "experienced silence" OR "felt silence" OR "noticed silence" OR "heard absence" OR "perceived absence" OR "experienced absence" OR "felt absence" OR "noted absence") AND ("interpersonal communication" OR "relational communication" OR "social interaction" OR "personal contact") AND ("risky behavior" OR "health-related behavior" OR "health decision-making"
ACTION SERP 1200 126 EXAMINE_SERP
ACTION SNIPPET 1200 129 SNIPPET_NOT_RELEVANT 113244513
ACTION SNIPPET 1200 132 SNIPPET_NOT_RELEVANT 51228540
ACTION SNIPPET 1200 135 SNIPPET_NOT_RELEVANT 3969522
ACTION SNIPPET 1200 138 SNIPPET_NOT_RELEVANT 7946044
ACTION SNIPPET 1200 141 SNIPPET_NOT_RELEVANT 147797155
ACTION SNIPPET 1200 144 SNIPPET_NOT_RELEVANT 40683196
ACTION SNIPPET 1200 147 SNIPPET_NOT_RELEVANT 39993264
ACTION SNIPPET 1200 150 SNIPPET_NOT_RELEVANT 150797401
ACTION SNIPPET 1200 153 SNIPPET_NOT_RELEVANT 137423154
ACTION SNIPPET 1200 156 SNIPPET_NOT_RELEVANT 3842001
ACTION SNIPPET 1200 159 SNIPPET_NOT_RELEVANT 140273174
ACTION SNIPPET 1200 162 SNIPPET_NOT_RELEVANT 8256969
ACTION SNIPPET 1200 165 SNIPPET_NOT_RELEVANT 8016056
ACTION SNIPPET 1200 168 SNIPPET_NOT_RELEVANT 144989317
ACTION SNIPPET 1200 171 SNIPPET_NOT_RELEVANT 54443115
ACTION SNIPPET 1200 174 SNIPPET_NOT_RELEVANT 82342911
ACTION SNIPPET 1200 177 SNIPPET_NOT_RELEVANT 145346474
ACTION SNIPPET 1200 180 SNIPPET_NOT_RELEVANT 9946695
ACTION SNIPPET 1200 183 SNIPPET_NOT_RELEVANT 83840167
ACTION SNIPPET 1200 186 SNIPPET_NOT_RELEVANT 43160398
ACTION SNIPPET 1200 189 SNIPPET_NOT_RELEVANT 74854467
ACTION SNIPPET 1200 192 SNIPPET_NOT_RELEVANT 1584690
ACTION SNIPPET 1200 195 SNIPPET_NOT_RELEVANT 13908535
ACTION SNIPPET 1200 198 SNIPPET_NOT_RELEVANT 8070736
ACTION SNIPPET 1200 201 SNIPPET_NOT_RELEVANT 9921492
ACTION SNIPPET 1200 204 SNIPPET_NOT_RELEVANT 148676213
ACTION SNIPPET 1200 207 SNIPPET_NOT_RELEVANT 2026213
ACTION SNIPPET 1200 210 SNIPPET_NOT_RELEVANT 83880290
ACTION SNIPPET 1200 213 SNIPPET_NOT_RELEVANT 59303248
ACTION SNIPPET 1200 216 SNIPPET_NOT_RELEVANT 26017037
ACTION SNIPPET 1200 219 SNIPPET_NOT_RELEVANT 122813826
ACTION SNIPPET 1200 222 SNIPPET_NOT_RELEVANT 12093799
ACTION QUERY 1200 232 "Silence" OR "heard silence" OR "experienced silence" OR "felt silenced" OR "faced silence" OR "lived with silence" OR "endured silence" OR "survived silence" OR "existed with silence" OR "coexisted with silence" OR "shared silence" OR "lived through silence") AND ("relationship*" OR "connect*" OR "interaction*" OR "relati*ships" OR "love" OR
ACTION SERP 1200 237 EXAMINE_SERP
ACTION SNIPPET 1200 240 SNIPPET_NOT_RELEVANT 8016056
ACTION SNIPPET 1200 243 SNIPPET_NOT_RELEVANT 43160398
